blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,profile_code,shank_diameter_mm,system_code,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
0,CABINET (3).pdf,,numeric,0.1,,,,,,4.0,63,010 204 010 001 060,,2.0,,,6.0,108.58810043334961,370.99391174316406,
0,CABINET (3).pdf,,numeric,0.2,,,,,,4.0,63,010 204 010 002 060,,2.0,,,6.0,177.46808624267578,370.99391174316406,
0,CABINET (3).pdf,,numeric,20.0,,all_catalogs_products/cabinet-3/images/page62_xref414.png,446,624,,4.0,62,010 204 010 200 060,,2.0,,,6.0,354.5281677246094,366.6613006591797,
0,CABINET (3).pdf,,numeric,30.0,,all_catalogs_products/cabinet-3/images/page62_xref413.png,446,627,,4.0,62,010 204 010 300 060,,2.0,,,6.0,274.24017333984375,366.6613006591797,
0,CABINET (3).pdf,,numeric,50.0,,all_catalogs_products/cabinet-3/images/page62_xref414.png,446,624,,4.0,62,010 204 010 500 060,,2.0,,,6.0,193.9521942138672,366.6613006591797,
0,CABINET (3).pdf,,numeric,70.0,,all_catalogs_products/cabinet-3/images/page62_xref414.png,446,624,,4.0,62,010 204 010 700 060,,2.0,,,6.0,113.66020965576172,366.6613006591797,
1,CABINET (3).pdf,,numeric,0.1,cutter cylindric blunt-edged,,,,,4.0,63,010 204 131 001 050,,2.0,,,5.0,246.35206604003906,370.99391174316406,
7,CABINET (3).pdf,,numeric,30.0,cylindric radial cutter,,,,,4.0,62,010 204 237 300 025,,2.0,,,2.5,274.24017333984375,743.7605285644531,
7,CABINET (3).pdf,,numeric,50.0,cylindric radial cutter,,,,,4.0,62,010 204 237 500 025,,2.0,,,2.5,193.95257568359375,743.7605285644531,
7,CABINET (3).pdf,,numeric,70.0,cylindric radial cutter,,,,,4.0,62,010 204 237 700 025,,2.0,,,2.5,113.66019821166992,743.7605285644531,
0,CABINET (3).pdf,,numeric,0.1,,,,,,0.0,63,010 300 010 001 060,,3.0,,,6.0,315.236083984375,370.99391174316406,
0,CABINET (3).pdf,,numeric,30.0,,all_catalogs_products/cabinet-3/images/page62_xref409.png,446,623,,0.0,62,010 300 010 300 060,,3.0,,,6.0,274.2402648925781,507.2796173095703,
0,CABINET (3).pdf,,numeric,50.0,,all_catalogs_products/cabinet-3/images/page62_xref409.png,446,623,,0.0,62,010 300 010 500 060,,3.0,,,6.0,193.95228576660156,507.2796173095703,
