blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,shank_diameter_mm,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
1,CHIRURGIE.pdf,without coating,numeric,25.1,,,,,tungsten carbide,4.0,10,500 104 001 251 027,1.0,2.7,2.7,114.59349060058594,372.56849670410156,
1,CHIRURGIE.pdf,without coating,numeric,25.1,,,,,tungsten carbide,4.0,10,500 104 001 251 031,1.0,,3.1,194.88145446777344,372.56849670410156,
1,CHIRURGIE.pdf,without coating,numeric,25.1,,,,,tungsten carbide,4.0,10,500 104 001 251 035,1.0,,3.5,275.16944885253906,372.56849670410156,
1,CHIRURGIE.pdf,without coating,numeric,25.1,,,,,tungsten carbide,4.0,10,500 104 001 251 040,1.0,,4.0,355.4574432373047,372.56849670410156,
1,CHIRURGIE.pdf,without coating,numeric,25.8,,,,,tungsten carbide,4.0,9,500 104 001 258 018,1.0,1.8,1.8,108.11268997192383,441.27549743652344,
1,CHIRURGIE.pdf,without coating,numeric,25.8,,,,,tungsten carbide,4.0,9,500 104 001 258 021,1.0,,2.1,176.99266052246094,441.27549743652344,
1,CHIRURGIE.pdf,without coating,numeric,25.8,,,,,tungsten carbide,4.0,9,500 104 001 258 023,1.0,,2.3,245.87266540527344,441.27549743652344,
1,CHIRURGIE.pdf,without coating,numeric,25.8,,,,,tungsten carbide,4.0,9,500 104 001 258 027,1.0,,2.7,314.75267028808594,441.27549743652344,
1,CHIRURGIE.pdf,without coating,numeric,25.8,,,,,tungsten carbide,4.0,9,500 104 001 258 031,1.0,,3.1,383.63267517089844,441.27549743652344,
1,CHIRURGIE.pdf,without coating,numeric,25.8,,,,,tungsten carbide,4.0,9,500 104 001 258 035,1.0,,3.5,452.51268005371094,441.27549743652344,
1,CHIRURGIE.pdf,without coating,numeric,25.8,,,,,tungsten carbide,4.0,9,500 104 001 258 040,1.0,,4.0,521.392822265625,441.27549743652344,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 010,1.0,1.0,1.0,114.21289825439453,391.77882385253906,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 014,1.0,,1.4,194.50086975097656,391.77882385253906,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 018,1.0,,1.8,274.7888641357422,391.77882385253906,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 023,1.0,,2.3,355.0768585205078,391.77882385253906,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 027,1.0,,2.7,435.36485290527344,391.77882385253906,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 031,1.0,,3.1,515.6529693603516,391.77882385253906,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 035,1.0,3.5,3.5,114.21289825439453,589.9125061035156,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 040,1.0,,4.0,194.50086975097656,589.9125061035156,
1,CHIRURGIE.pdf,without coating,numeric,29.1,,,,,tungsten carbide,4.0,11,500 104 001 291 050,1.0,,5.0,274.7888641357422,589.9125061035156,
1,CHIRURGIE.pdf,without coating,numeric,29.8,,,,,tungsten carbide,4.0,12,500 104 001 298 023,1.0,2.3,2.3,114.21289825439453,385.8301239013672,
1,CHIRURGIE.pdf,without coating,numeric,29.8,,,,,tungsten carbide,4.0,12,500 104 001 298 027,1.0,,2.7,194.50086975097656,385.8301239013672,
1,CHIRURGIE.pdf,without coating,numeric,29.8,,,,,tungsten carbide,4.0,12,500 104 001 298 031,1.0,,3.1,274.7888641357422,385.8301239013672,
1,CHIRURGIE.pdf,without coating,numeric,29.8,,,,,tungsten carbide,4.0,12,500 104 001 298 035,1.0,,3.5,355.0768585205078,385.8301239013672,
