blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,shank_diameter_mm,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
1,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",without coating,numeric,16.0,cylindric radial cutter,,,,tungsten carbide,43.0,4,500 343 201 160 010,3.0,,1.0,94.94100570678711,148.94830322265625,
1,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",without coating,numeric,17.0,cylindric radial cutter,,,,tungsten carbide,47.0,5,500 347 201A 170 010,3.0,1.0,1.0,205.33155822753906,452.19541931152344,
1,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",without coating,numeric,17.0,cylindric radial cutter,,,,tungsten carbide,47.0,5,500 347 201A 170 025,3.0,2.5,2.5,125.96358108520508,452.19541931152344,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",without coating,numeric,3.0,cylindric radial cutter,,,,tungsten carbide,47.0,4,500 347 202A 030 003,3.0,0.3,0.3,366.78692626953125,554.4196166992188,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",without coating,numeric,14.0,cylindric radial cutter,,,,tungsten carbide,47.0,5,500 347 202A 140 010,3.0,1.0,1.0,405.9707336425781,451.37510681152344,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",without coating,numeric,20.0,cylindric radial cutter,,,,tungsten carbide,47.0,5,500 347 202A 200 025,3.0,2.5,2.5,326.6027526855469,451.37510681152344,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",without coating,numeric,0.0,radial cutter conical,,,,tungsten carbide,47.0,5,500 347 302A 000 006,3.0,0.6,0.6,485.3387451171875,451.37510681152344,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",ac-fire,numeric,10.0,cylindric radial cutter,,,,tungsten carbide,38.0,5,540 338 202A 100 010,3.0,1.0,1.0,284.69957733154297,200.64461517333984,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",ac-fire,numeric,15.0,cylindric radial cutter,,,,tungsten carbide,38.0,5,540 338 202A 150 015,3.0,1.5,1.5,402.8553771972656,199.82442474365234,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",ac-fire,numeric,15.0,cylindric radial cutter,,,,tungsten carbide,38.0,5,540 338 202A 150 020,3.0,2.0,2.0,205.33155822753906,200.64461517333984,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",ac-fire,numeric,15.0,cylindric radial cutter,,,,tungsten carbide,38.0,5,540 338 202A 150 030,3.0,3.0,3.0,125.96358108520508,200.64461517333984,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",ac-crystal,numeric,14.0,cylindric radial cutter,,,,tungsten carbide,47.0,5,550 347 202A 140 010,3.0,1.0,1.0,205.2305450439453,715.2478942871094,
2,"Kompatibel zu imes-icore, Schütz &amp; Kulzer 3mm.pdf",ac-crystal,numeric,20.0,cylindric radial cutter,,,,tungsten carbide,47.0,5,550 347 202A 200 025,3.0,2.5,2.5,125.8625717163086,715.2478942871094,
