blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,profile_code,shank_diameter_mm,system_code,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
1,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 1R0 U07,1R0,,W4,0.7,0.7,284.1082763671875,458.8404083251953,
1,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 1R0 U10,1R0,,W4,1.0,1.0,204.7403106689453,458.8404083251953,
1,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 1R0 U25,1R0,,W4,2.5,2.5,125.3723030090332,458.8404083251953,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 2R0 U07,2R0,,W4,0.7,0.7,464.76007080078125,707.1272277832031,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 2R0 U10,2R0,,W4,1.0,1.0,385.39208984375,707.1272277832031,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 2R0 U25,2R0,,W4,2.5,2.5,306.02410888671875,707.1272277832031,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 2R3 U10,2R3,,W4,1.0,1.0,204.82521057128906,707.9473571777344,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 2R3 U25,2R3,,W4,2.5,2.5,125.45720291137695,707.9473571777344,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 2R5 U10,2R5,,W4,1.0,1.0,204.7403106689453,214.7772445678711,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,5,W4 2R5 U25,2R5,,W4,2.5,2.5,125.3723030090332,214.7772445678711,
1,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 1R0 U07,1R0,,W5,0.7,0.7,284.8075866699219,459.5988006591797,
1,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 1R0 U10,1R0,,W5,1.0,1.0,205.4395980834961,459.5988006591797,
1,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 1R0 U25,1R0,,W5,2.5,2.5,126.07159423828125,459.5988006591797,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 2R0 U07,2R0,,W5,0.7,0.7,477.8194580078125,713.9309997558594,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 2R0 U10,2R0,,W5,1.0,1.0,398.45147705078125,713.9309997558594,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 2R0 U25,2R0,,W5,2.5,2.5,319.08349609375,713.9309997558594,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 2R3 U10,2R3,,W5,1.0,1.0,205.07039642333984,713.9309997558594,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 2R3 U25,2R3,,W5,2.5,2.5,125.702392578125,713.9309997558594,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 2R5 U10,2R5,,W5,1.0,1.0,205.79000091552734,214.8357162475586,
2,Kompatibel zu Ivoclar &amp; Wieland.pdf,,alpha,,,,,,,,4,W5 2R5 U25,2R5,,W5,2.5,2.5,126.4219970703125,214.8357162475586,
