blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,shank_diameter_mm,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
7,LABORATOR (2).pdf,,numeric,0.3,cylindric radial cutter,,,,,4.0,71,010 104 237 003 040,1.0,,4.0,117.43618774414062,471.86961364746094,
2,LABORATOR (2).pdf,,numeric,41.5,radial cutter conical,,,,,4.0,70,010 104 372 415 220,1.0,,22.0,299.50987243652344,754.4095153808594,
7,LABORATOR (2).pdf,,numeric,0.3,cylindric radial cutter,,,,,4.0,71,011 104 237 003 040,1.0,,4.0,438.3997497558594,471.86961364746094,
2,LABORATOR (2).pdf,,numeric,41.2,radial cutter conical,,,,,4.0,70,011 104 372 412 190,1.0,,19.0,117.05619049072266,739.1064147949219,
2,LABORATOR (2).pdf,,numeric,41.2,radial cutter conical,,,,,4.0,70,011 104 372 412 220,1.0,,22.0,117.05619049072266,753.9704284667969,
7,LABORATOR (2).pdf,,numeric,0.0,cylindric radial cutter,,,,,4.0,71,012 104 237 000 060,1.0,,6.0,278.0117721557617,471.86961364746094,
2,LABORATOR (2).pdf,,numeric,41.1,radial cutter conical,,,,,4.0,70,012 104 372 411 190,1.0,,19.0,117.97330093383789,410.27720642089844,
2,LABORATOR (2).pdf,,numeric,41.1,radial cutter conical,,,,,4.0,70,012 104 372 411 220,1.0,,22.0,117.97330093383789,425.14122009277344,
2,LABORATOR (2).pdf,,numeric,41.4,radial cutter conical,,,,,4.0,70,012 104 372 414 170,1.0,,17.0,480.8690643310547,754.4095153808594,
2,LABORATOR (2).pdf,,numeric,41.1,radial cutter conical,all_catalogs_products/laborator-2/images/page70_xref1756.png,168,232,,4.0,70,013 104 372 411 140,1.0,,14.0,278.3655700683594,410.3637237548828,
2,LABORATOR (2).pdf,,numeric,41.1,radial cutter conical,all_catalogs_products/laborator-2/images/page70_xref1756.png,168,232,,4.0,70,013 104 372 411 170,1.0,,17.0,279.3015823364258,425.2277374267578,
2,LABORATOR (2).pdf,,numeric,41.1,radial cutter conical,all_catalogs_products/laborator-2/images/page70_xref1756.png,168,232,,4.0,70,013 104 372 411 190,1.0,,19.0,278.36959075927734,440.53175354003906,
2,LABORATOR (2).pdf,,numeric,27.0,radial cutter conical,all_catalogs_products/laborator-2/images/page68_xref1726.png,184,156,,4.0,68,014 104 372 270 220,1.0,,22.0,328.820068359375,500.7497100830078,
2,LABORATOR (2).pdf,,numeric,27.0,radial cutter conical,all_catalogs_products/laborator-2/images/page68_xref1726.png,184,156,,4.0,68,014 104 372 270 250,1.0,,25.0,158.79608917236328,500.7497100830078,
2,LABORATOR (2).pdf,,numeric,41.0,radial cutter conical,,,,,4.0,72,014 104 372 410 190,1.0,,19.0,122.53468704223633,376.9617156982422,
2,LABORATOR (2).pdf,,numeric,41.2,radial cutter conical,,,,,4.0,72,014 104 372 412 220,1.0,,22.0,283.11065673828125,376.9617156982422,
2,LABORATOR (2).pdf,,numeric,51.3,radial cutter conical,all_catalogs_products/laborator-2/images/page69_xref1739.png,176,325,,0.0,69,014 900 372 513 220,9.0,,22.0,114.5387954711914,754.4078063964844,
2,LABORATOR (2).pdf,,numeric,41.0,radial cutter conical,,,,,0.0,68,015 900 302 410 210,9.0,,21.0,194.80277252197266,319.5290069580078,
2,LABORATOR (2).pdf,,numeric,41.0,radial cutter conical,,,,,0.0,68,015 900 372 410 190,9.0,,19.0,114.57119750976562,319.5290069580078,
2,LABORATOR (2).pdf,,numeric,44.2,radial cutter conical,,,,,4.0,72,016 104 372 442 220,1.0,,22.0,443.50267028808594,376.9617156982422,
7,LABORATOR (2).pdf,,numeric,0.5,cylindric radial cutter,,,,,4.0,71,017 104 237 005 040,1.0,,4.0,278.89768981933594,754.4095153808594,
2,LABORATOR (2).pdf,,numeric,41.5,radial cutter conical,,,,,4.0,71,017 104 372 415 210,1.0,,21.0,118.56608581542969,754.4095153808594,
1,LABORATOR (2).pdf,,numeric,47.3,radial cutter conical,all_catalogs_products/laborator-2/images/page74_xref1804.png,178,225,,0.0,74,019 900 371 473 950,9.0,,95.0,162.19776916503906,429.2613983154297,
1,LABORATOR (2).pdf,,numeric,51.4,radial cutter conical,all_catalogs_products/laborator-2/images/page73_xref1786.png,166,182,,0.0,73,019 900 371 514 450,9.0,,45.0,194.70547485351562,426.4267120361328,
2,LABORATOR (2).pdf,,numeric,21.4,radial cutter conical,all_catalogs_products/laborator-2/images/page73_xref1798.png,185,225,,0.0,73,019 900 372 214 500,9.0,,50.0,114.4695053100586,426.4267120361328,
2,LABORATOR (2).pdf,,numeric,22.3,radial cutter conical,all_catalogs_products/laborator-2/images/page73_xref1798.png,185,225,,0.0,73,019 900 372 223 500,9.0,,50.0,274.29029083251953,721.6881408691406,
